Sample ID	Inferred ID	Csore	DeltaCscore
2015-1341	2015-856	1.11797752808989	0.533475542789558
2015-1341	2015-246	1.11797752808989	0.533475542789558
2015-1341	2016-922	1.11797752808989	0.533475542789558
2015-1341	2016-895	1.11797752808989	0.533475542789558
2015-1341	2015-481	1.11797752808989	0.533475542789558
2015-1341	2015-1407	1.11797752808989	0.533475542789558
2015-1341	2014-2197	1.11797752808989	0.538413071785609
2015-1341	2015-772	1.10614525139665	0.538413071785609
2015-1341	2015-19	1.10614525139665	0.538413071785609
2015-1341	2015-1431	1.10614525139665	0.538413071785609
2015-1341	2016-951	1.10614525139665	0.538413071785609
2015-1341	2015-1335	1.10614525139665	0.538413071785609
2015-1341	2015-42	1.10614525139665	0.538413071785609
2015-1341	2015-807	1.10614525139665	0.538413071785609
